                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                0.88608,                0.52464,                0.98469,                0.88308,                0.63766,                0.75593,                0.55125,                0.96463,                0.58332,                  1.092,              0.0014733,              0.0014733,              0.0014733
                    136,                0.88864,                0.52155,                0.98213,                0.87503,                 0.6473,                0.75714,                0.54954,                0.95054,                0.58504,                 1.0911,              0.0014694,              0.0014694,              0.0014694
                    137,                0.88241,                0.52245,                0.98295,                0.89344,                0.63566,                0.75347,                0.54803,                0.95958,                0.57884,                  1.106,              0.0014654,              0.0014654,              0.0014654
                    138,                0.89977,                0.53275,                0.98901,                 0.8917,                0.63626,                0.74871,                0.54737,                0.97236,                0.59675,                 1.1009,              0.0014614,              0.0014614,              0.0014614
                    139,                0.87476,                0.51286,                0.97805,                0.89456,                0.62335,                0.74211,                0.54077,                0.97643,                0.60422,                 1.1006,              0.0014575,              0.0014575,              0.0014575
                    140,                0.89511,                0.53028,                0.98656,                0.90882,                0.62479,                0.75627,                0.55066,                0.96035,                0.59242,                 1.0826,              0.0014535,              0.0014535,              0.0014535
                    141,                0.89188,                0.52118,                0.98332,                0.88989,                0.63377,                0.74934,                0.54315,                 0.9775,                0.57867,                 1.1103,              0.0014496,              0.0014496,              0.0014496
                    142,                0.89086,                0.51864,                0.97777,                0.88441,                0.63066,                0.74497,                0.53997,                0.97063,                0.58726,                 1.1005,              0.0014456,              0.0014456,              0.0014456
                    143,                0.87096,                0.51105,                0.97317,                0.88841,                0.63798,                0.75438,                 0.5449,                0.97711,                0.57968,                 1.0987,              0.0014416,              0.0014416,              0.0014416
                    144,                0.88513,                 0.5206,                0.97896,                 0.8848,                0.63566,                0.74745,                0.54088,                0.99363,                0.59688,                 1.1105,              0.0014377,              0.0014377,              0.0014377
                    145,                0.89794,                0.52751,                 0.9854,                0.89733,                0.63037,                0.75012,                0.54203,                0.98515,                 0.5839,                 1.1167,              0.0014337,              0.0014337,              0.0014337
                    146,                0.88536,                0.51911,                0.97664,                0.88918,                0.62879,                0.74762,                0.54873,                0.96513,                0.59488,                 1.0947,              0.0014298,              0.0014298,              0.0014298
                    147,                0.88965,                0.51808,                0.98175,                0.88343,                0.62622,                0.74317,                0.54544,                0.96526,                0.58537,                 1.0957,              0.0014258,              0.0014258,              0.0014258
                    148,                0.87556,                 0.5142,                0.98253,                0.90702,                0.62307,                0.74592,                0.53948,                0.97096,                0.58336,                 1.1136,              0.0014218,              0.0014218,              0.0014218
                    149,                 0.8762,                0.51149,                0.97862,                0.88622,                0.62793,                0.74854,                0.54438,                0.98448,                0.58952,                 1.1219,              0.0014179,              0.0014179,              0.0014179
